Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 13:39:06.560696),Img Match
Max Voltage Unbalance,,,,,
NEMA,LL,[] (PASS),[] (PASS),2024-09-06 13:40:41 (PASS),
NEMA,LN,,,2024-09-06 13:40:57 (PASS),
Negative- Sequence,U2,,,2024-09-06 13:40:42 (PASS),
Zero- Sequence,U0,,,2024-09-06 13:40:49 (PASS),
,0.2 %,,,,
,0.5 %,,,,
,0.9 %,,,,
