Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 13:39:59.040612),Img Match
Current Unbalance Max,,,,,
NEMA,empty,[] (PASS),[] (PASS),,
Negative- Sequence,U2,,,,
Zero- Sequence,U0,,,,
,0.2 %,,,,
,0.1 %,,,,
