Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor  Voltage Current,,,,,
VLL VLN,188.7 v,[] (PASS),[] (PASS),,"[0.9594937562942505, 1.0, 1.0]"
Voltage,189.5 v,,,,
AB BC CA,190.0 v,,,,
Current,2.475 A,,,,
A B C,2.485 A,,,,
,2.491 A,,,,
,30.0,,,,
,-89.6,,,,
,150.0,,,,
,-30.2,,,,
,-150.5,,,,
