Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,,,,,
VLL VLN,188.6 v,[] (PASS),[] (PASS),,"[0.9591927528381348, 1.0, 1.0]"
Voltage,189.2 v,,,,
AB BC CA,190.1 v,,,,
Current,2.475 A,,,,
A B C,2.485 A,,,,
,2.496 A,,,,
,30.1,,,,
,-89.5,,,,
,150.1,,,,
,-30.1,,,,
,-150.5,,,,
