Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,,,,,
VLL VLN,109.1 v,[] (PASS),[] (PASS),,"[0.9627522826194763, 1.0, 1.0]"
Voltage,108.6 v,,,,
A B C,109.9 v,,,,
Current,2.479 A,,,,
A B C,2.480 A,,,,
,2.491 A,,,,
,0.0,,,,
,-119.5,,,,
,120.0,,,,
,-30.1,,,,
,-150.4,,,,
