Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
L-L L-N Max Volt. Symm. Component,,,,,
Positive- Sequence,V1,[] (PASS),[] (PASS),,
Negative- Sequence,V2,,,,
,189.4 V,,,,
