Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 13:39:59.040612),Img Match
Max Curr. Symm. Component,,,,,
Positive- Sequence,11,[] (PASS),[] (PASS),2024-09-06 13:41:38 (PASS),
Negative- Sequence,12,,,2024-09-06 13:41:46 (PASS),
Zero- Sequence,10,,,2024-09-06 13:41:46 (PASS),
,2.489 A,,,,
,0.008 A,,,,
