Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 13:39:06.560696),Img Match
Max Curr. Symm. Component,,,,,
Positive- Sequence,11,[] (PASS),[] (PASS),,
Negative- Sequence,12,,,,
Zero- Sequence,10,,,,
,2.483 A,,,,
,0.005 A,,,,
