Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor  Voltage Current,,,,,
VLL VLN,109.2 v,[] (PASS),[] (PASS),,"[0.9630774259567261, 1.0, 1.0]"
Voltage,108.6 v,,,,
A B C,109.7 v,,,,
Current,2.478 A,,,,
A B C,2.484 A,,,,
,2.491 A,,,,
,0.0,,,,
,-119.7,,,,
,120.1,,,,
,-30.1,,,,
,-150.5,,,,
