Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Curr. Symm. Component Max,,,,,,
Positive- Sequence,11 (FAIL),[] (PASS),[] (PASS),,,
Negative- Sequence,12 (FAIL),,,,,
Zero- Sequence,10 (FAIL),,,,,
,24.92 A (FAIL),,,,,
,0.063A (PASS),,,,,
,0.126 A (FAIL),,,,,
