Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-20 16:50:59.259010),Img Match,H.Text
Fund. Volt. L-L L-N Min Max,,,,,,
A,109.5V (PASS),[] (PASS),[] (PASS),2024-09-20 16:53:39 (PASS),,
B,109.1V (PASS),,,2024-09-20 16:54:08 (PASS),,
c,109.3V (PASS),,,2024-09-20 16:54:00 (PASS),,
Average,109.4V (PASS),,,2024-09-20 16:55:02 (PASS),,
