Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2025-03-24 11:14:36+00:00),Img Match,H.Text
Min Max Residual Current,,,,,,
RMS,0.898 A (FAIL),[] (PASS),[] (PASS),2025-03-24 11:14:47 (PASS),,
Fund.,0.338 A (FAIL),,,2025-03-24 11:15:10 (PASS),,
