Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2025-03-24 11:13:09+00:00),Img Match,H.Text
Min Max Residual Current,,,,,,
RMS,0.861 A (FAIL),[] (PASS),[] (PASS),,,
Fund.,0.291 A (FAIL),,,,,
