Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
L-L L-N Min Max RMS Voltage,,,,,,
AB,189.8 (FAIL),['Averaget'] (FAIL),['Average'] (FAIL),,,
BC,189.8 (FAIL),,,,,
CA,189.9 (FAIL),,,,,
Averaget,189.8 (FAIL),,,,,
