Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-08 22:56:21.325528),Img Match
Max Current Unbalance,,,,,
NEMA,empty = empty (PASS by text),[] (PASS),[] (PASS),2024-08-13 17:28:11 / 2266090.325528 seconds (FAIL),
Negative- Sequence,U2 = U2 (PASS by text),,,2024-08-13 17:27:27 / 2266134.325528 seconds (FAIL),
Zero- Sequence,U0 = U0 (PASS by text),,,2024-08-13 17:27:25 / 2266136.325528 seconds (FAIL),
,0.3% (PASS),,,,
,0.6% (PASS),,,,
,0.8 % (FAIL),,,,
