Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2025-02-25 09:46:38+00:00),Img Match,H.Text
RMS Voltage L-L L-N Min Max,,,,,,
AB,190.3V (PASS),[] (PASS),[] (PASS),2025-02-25 09:47:23 (PASS),,
BC,190.2V (PASS),,,2025-02-25 09:47:21 (PASS),,
CA,190.2V (PASS),,,2025-02-25 09:46:48 (PASS),,
Average,190.2V (PASS),,,2025-02-25 09:47:28 (PASS),,
