Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Min Active Power Max,,,,,,
A,0.0% (PASS),[] (PASS),[] (PASS),,,
B,0.0% (PASS),,,,,
C,0.0% (PASS),,,,,
Total,0.0% (PASS),,,,,
,0.0kW (PASS),,,,,
,0.0kW (PASS),,,,,
,0.0kW (PASS),,,,,
,0.0kW (PASS),,,,,
