Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Max Crest Factor,,,,,,
A,0.0 (PASS),[] (PASS),[] (PASS),,,
B,0.0 (PASS),,,,,
C,0.0 (PASS),,,,,
